model,pooling,layer,n_prompts,n_nan_at_layer,skipped,point,ci_lo,ci_hi,rho_mb,rho_ma,rho_ba,n_boot_valid
deepseek_v2_lite,mean_pool_hs,7,45,0,False,0.042456914786498996,0.00815974532160908,0.17165668047964572,0.03278777312460339,-0.013626285018991244,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,8,45,0,False,0.05527284036748718,0.014957534288987518,0.18301117233932016,0.050992598526304854,0.00200667867224695,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,9,45,0,False,0.06840669275916399,0.027827270841225986,0.18454014211893077,0.06255220800296171,0.0011582335294140764,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,10,45,0,False,0.08251456380136699,0.0428706131875515,0.19979950934648513,0.0811415532048043,0.014946053327225145,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,11,45,0,False,0.07782234720920633,0.041188965644687416,0.19033554382622236,0.0779114973431327,0.01739439457132441,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,12,45,0,False,0.07761223554836277,0.04408635683357716,0.18644154854118822,0.08762364277006315,0.0410608378105163,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,13,45,0,False,0.0843481930256668,0.04481438659131527,0.20506093502044678,0.08612524702780947,0.022869442812189354,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,14,45,0,False,0.05105479430258904,0.014844786771573127,0.1649741157889366,0.06553233703541221,0.045801557258280806,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,15,45,0,False,0.05094081236447568,0.01361634295899421,0.1663422729820013,0.060121832924473796,0.03312504385767524,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,16,45,0,False,0.04702730369548776,0.0016344328003469856,0.1729248959571123,0.05567676484941775,0.030986519663542825,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,17,45,0,False,0.035310143797909824,-0.0009034999078721739,0.15126537382602687,0.034465040418628495,0.005776052960395537,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,18,45,0,False,0.041795819456252305,0.0012899814435513694,0.15832767300307748,0.03797632631178442,0.0001309948283014246,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,19,45,0,False,0.055785789948538354,0.0209326614625752,0.17260096296668043,0.049581850933401145,-0.002455015053520892,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,20,45,0,False,0.05677936285298238,0.017642233055084944,0.1721440330147743,0.04733323437737493,-0.009940796051174186,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,21,45,0,False,0.06032550412430839,0.020329578313976526,0.17592294923961158,0.04959944340599847,-0.01219928174968907,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,22,45,0,False,0.06927102656863278,0.02205640901811421,0.18960479609668254,0.057198143480378,-0.01342632497287071,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,23,45,0,False,0.07852296556030502,0.027764838421717286,0.20025139153003693,0.06354578401911234,-0.018278729179669124,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,24,45,0,False,0.08940854720988262,0.0394378986209631,0.2008104994893074,0.06906025562833847,-0.028601718647697994,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,25,45,0,False,0.09067033405912657,0.02971405889838934,0.20517653450369835,0.07012471461788923,-0.028790647613893328,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,26,45,0,False,0.11903076387061282,0.03503477005288005,0.2574256055057048,0.10955737029299631,0.0037142320957070673,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,27,45,0,False,0.024235082553641353,-0.04947619261220097,0.1566173542290926,0.09122292143573636,0.16537225608886236,0.42048917922079576,1000
llama,last_token_hs,0,45,0,False,,,,,,0.42048917922079576,0
llama,last_token_hs,1,45,0,False,-0.017919975439560046,-0.041858055349439385,0.08948598429560657,0.0032797907426265517,0.04642452505756159,0.42048917922079576,1000
llama,last_token_hs,2,45,0,False,0.00510434734685713,-0.02508812737651169,0.11411720141768453,0.04476773495075843,0.09550243670654063,0.42048917922079576,1000
llama,last_token_hs,3,45,0,False,0.03329082417867288,0.0014608579833293347,0.12609657905995844,0.06945889178240577,0.0936694923243221,0.42048917922079576,1000
llama,last_token_hs,4,45,0,False,0.07105614330616328,0.008026011812034994,0.17965943068265913,0.10406620302172088,0.09486060296524963,0.42048917922079576,1000
llama,last_token_hs,5,45,0,False,0.07571350229079146,0.018112108996137976,0.1766419116407633,0.09466206679668085,0.06207020478812548,0.42048917922079576,1000
llama,last_token_hs,6,45,0,False,0.10165514884687459,0.031231693364679815,0.20742041058838365,0.12361438490499062,0.07525631223339313,0.42048917922079576,1000
llama,last_token_hs,7,45,0,False,0.08609397287205188,0.01671879249624908,0.18807113170623774,0.12111740118990696,0.1032658144994005,0.42048917922079576,1000
llama,last_token_hs,8,45,0,False,0.11457935101004608,0.04541528420522809,0.2163493555039167,0.16180818414698225,0.14001468726092106,0.42048917922079576,1000
llama,last_token_hs,9,45,0,False,0.18798193334267083,0.08537073507905006,0.2986323110759258,0.3049114110842438,0.3443258654111844,0.42048917922079576,1000
llama,last_token_hs,10,45,0,False,0.2163005883523005,0.11408677157014609,0.34232255443930626,0.3278390413971312,0.34090196374071297,0.42048917922079576,1000
llama,last_token_hs,11,45,0,False,0.20757345869028726,0.09643547274172307,0.3257247798144817,0.2996085471307316,0.28294026785525495,0.42048917922079576,1000
llama,last_token_hs,12,45,0,False,0.2630939238487049,0.14275336787104606,0.39938890039920805,0.3561915294300444,0.3067788563646267,0.42048917922079576,1000
llama,last_token_hs,13,45,0,False,0.30160732697814535,0.1693247627466917,0.43862565606832504,0.40538752492889746,0.3559163581094019,0.42048917922079576,1000
llama,last_token_hs,14,45,0,False,0.3511531796952792,0.2326257161796093,0.48534931540489196,0.4563931614432991,0.3866125645254081,0.42048917922079576,1000
llama,last_token_hs,15,45,0,False,0.38494895845687327,0.2548938177525997,0.5219286918640137,0.47361355852476017,0.3474876734004639,0.42048917922079576,1000
llama,last_token_hs,16,45,0,False,0.3400626932955743,0.23550804778933526,0.46953839361667626,0.43475002192311657,0.34528210259428066,0.42048917922079576,1000
llama,last_token_hs,17,45,0,False,0.3196791586387438,0.21209577806293964,0.4492860987782478,0.40982039429169026,0.32146139720517414,0.42048917922079576,1000
llama,last_token_hs,18,45,0,False,0.29400507167501266,0.19068589583039283,0.41849473789334296,0.36692474514332785,0.2600613236135401,0.42048917922079576,1000
llama,last_token_hs,19,45,0,False,0.23749392333430555,0.1338339179754257,0.3750422306358814,0.3085972778041717,0.23592058352027515,0.42048917922079576,1000
llama,last_token_hs,20,45,0,False,0.23681747059994881,0.1274761412292719,0.36252030581235883,0.3052838765034981,0.2285611963689382,0.42048917922079576,1000
llama,last_token_hs,21,45,0,False,0.22659365660857264,0.11818042155355216,0.3495831906795501,0.30214923240187536,0.24447693006546597,0.42048917922079576,1000
llama,last_token_hs,22,45,0,False,0.1932086735463744,0.0853324856609106,0.3084347404539585,0.2856939266681086,0.279109781952454,0.42048917922079576,1000
llama,last_token_hs,23,45,0,False,0.1914111798530333,0.09287179969251155,0.3084041848778724,0.264279398690281,0.22619774928735553,0.42048917922079576,1000
llama,last_token_hs,24,45,0,False,0.18752824748171246,0.05919358506798744,0.29998639076948164,0.3169867513611722,0.3794867661328091,0.42048917922079576,1000
llama,last_token_hs,25,45,0,False,0.184304784326075,0.030411542113870385,0.29528601914644237,0.3323021297362741,0.4315304648461471,0.42048917922079576,1000
llama,last_token_hs,26,45,0,False,0.1836191863502227,0.04935182686895132,0.2970187239348888,0.3117157203392899,0.37384633407627005,0.42048917922079576,1000
llama,last_token_hs,27,45,0,False,0.17665653323257932,0.04265456423163414,0.2916380986571312,0.30598777291128654,0.3742150166833796,0.42048917922079576,1000
llama,last_token_hs,28,45,0,False,0.1760405423875494,0.051294301543384796,0.2951181411743164,0.28985756815140123,0.33088437436381657,0.42048917922079576,1000
llama,last_token_hs,29,45,0,False,0.18415422344146587,0.049229498300701384,0.3102648541331291,0.29615209458549585,0.32908276705627787,0.42048917922079576,1000
llama,last_token_hs,30,45,0,False,0.1895928031945026,0.0675344528630376,0.31311265453696246,0.2879749324169049,0.2938265760227623,0.42048917922079576,1000
llama,last_token_hs,31,45,0,False,0.19532828600216148,0.07672734297811985,0.3166410535573959,0.27631885240234555,0.24894135153384472,0.42048917922079576,1000
llama,last_token_hs,32,45,0,False,0.18341595017431328,0.06846888158470392,0.2902649916708469,0.26613532189092604,0.24969403987543992,0.42048917922079576,1000
llama,mean_pool_hs,0,45,0,False,0.058089062365157006,0.015328734158538282,0.15375115759670732,0.057525427183465025,0.01147433250945243,0.42048917922079576,1000
llama,mean_pool_hs,1,45,0,False,0.047497589357421,0.010801440896466374,0.14514621160924432,0.0495072248536134,0.01526269467947121,0.42048917922079576,1000
llama,mean_pool_hs,2,45,0,False,0.019399490643416843,-0.007454345654696225,0.11725139655172817,0.023093980715295354,0.013066621526721113,0.42048917922079576,1000
