model,pooling,layer,anisotropy,top1,top3,top5,top1_frac,top3_frac,top5_frac,skipped
deepseek_v2_lite,last_token_hs,15,0.9006531238555908,0.23286132514476776,0.4466460943222046,0.48517486453056335,0.25854717979316566,0.4959135570530915,0.5386922575181735,False
deepseek_v2_lite,last_token_hs,16,0.9014676809310913,0.23611849546432495,0.4664633274078369,0.5035342574119568,0.26192674508358105,0.5174487530446403,0.5585716138951045,False
deepseek_v2_lite,last_token_hs,17,0.880359411239624,0.22785356640815735,0.45588570833206177,0.48777174949645996,0.25881880002545704,0.51784044392748,0.5540597888419618,False
deepseek_v2_lite,last_token_hs,18,0.8636490702629089,0.22583170235157013,0.4652479887008667,0.4966115653514862,0.26148549234566215,0.5387002715804899,0.5750154576097783,False
deepseek_v2_lite,last_token_hs,19,0.8760600090026855,0.21357151865959167,0.5121360421180725,0.5485576391220093,0.243786403288427,0.5845901386379829,0.6261644561843339,False
deepseek_v2_lite,last_token_hs,20,0.8025022149085999,0.23188674449920654,0.4102843999862671,0.43995535373687744,0.28895464734090115,0.5112564082243636,0.5482294572694553,False
deepseek_v2_lite,last_token_hs,21,0.7968496084213257,0.2907944321632385,0.416631817817688,0.4459652304649353,0.3649301312192954,0.522848745126569,0.5596604751409202,False
deepseek_v2_lite,last_token_hs,22,0.8146094083786011,0.35029131174087524,0.454031378030777,0.4840821623802185,0.43001137494605574,0.5573608325178582,0.5942506401242479,False
deepseek_v2_lite,last_token_hs,23,0.8164882659912109,0.4105145335197449,0.4774772822856903,0.506015419960022,0.5027806897155872,0.584793808035975,0.6197461017345092,False
deepseek_v2_lite,last_token_hs,24,0.8556492328643799,0.5791698098182678,0.6195823550224304,0.6403652429580688,0.676877612429375,0.7241078834936956,0.7483969112136942,False
deepseek_v2_lite,last_token_hs,25,0.875338077545166,0.6630138754844666,0.691493570804596,0.7052350640296936,0.7574374890029345,0.7899731412848494,0.8056716394738405,False
deepseek_v2_lite,last_token_hs,26,0.9181346893310547,0.7757259011268616,0.7871580123901367,0.7937768697738647,0.8448933583939073,0.8573448117548564,0.8645538383395621,False
deepseek_v2_lite,last_token_hs,27,0.9236730337142944,0.29378077387809753,0.5338287353515625,0.667142927646637,0.3180571080404283,0.5779412366353477,0.7222717382620851,False
deepseek_v2_lite,mean_pool_hs,0,0.8353902101516724,0.23402178287506104,0.38568633794784546,0.41175511479377747,0.28013469637449107,0.46168405286652897,0.4928895620155996,False
deepseek_v2_lite,mean_pool_hs,1,0.960559070110321,0.5599370002746582,0.6447453498840332,0.6945226788520813,0.5829282317956239,0.6712188453022297,0.7230400508032419,False
deepseek_v2_lite,mean_pool_hs,2,0.9642263650894165,0.48889341950416565,0.6129708886146545,0.6654289960861206,0.5070317896346141,0.6357126405248329,0.690116989307187,False
deepseek_v2_lite,mean_pool_hs,3,0.9891629219055176,0.14813101291656494,0.30469071865081787,0.43865084648132324,0.14975390770936525,0.3080288513684515,0.44345662050929774,False
deepseek_v2_lite,mean_pool_hs,4,0.9999887347221375,0.15301613509655,0.4316413998603821,0.5798184871673584,0.15301785888524827,0.4316462624754672,0.5798250190573098,False
deepseek_v2_lite,mean_pool_hs,5,0.9999794363975525,0.14100822806358337,0.3953704237937927,0.5773500204086304,0.14101112776035532,0.3953785542011976,0.5773618930490674,False
deepseek_v2_lite,mean_pool_hs,6,0.9999715685844421,0.1384025365114212,0.3966825008392334,0.5752304792404175,0.13840647160333125,0.3966937794049249,0.5752468343222125,False
deepseek_v2_lite,mean_pool_hs,7,0.9999601244926453,0.13752324879169464,0.3954649269580841,0.5737124681472778,0.1375287328196917,0.39548069695152405,0.5737353461352923,False
deepseek_v2_lite,mean_pool_hs,8,0.9999555349349976,0.13720615208148956,0.394623339176178,0.5727308988571167,0.1372122532332487,0.394640886908867,0.572756366506184,False
deepseek_v2_lite,mean_pool_hs,9,0.9999399185180664,0.13688381016254425,0.39428356289863586,0.5721007585525513,0.13689203483886228,0.3943072534627611,0.5721351332792249,False
deepseek_v2_lite,mean_pool_hs,10,0.9999194741249084,0.1367361843585968,0.394368976354599,0.5719211101531982,0.13674719604622473,0.3944007358189876,0.5719671683099501,False
deepseek_v2_lite,mean_pool_hs,11,0.9998955726623535,0.13647621870040894,0.39446717500686646,0.5720162987709045,0.13649047203701786,0.39450837246588233,0.5720760391486042,False
deepseek_v2_lite,mean_pool_hs,12,0.9998491406440735,0.13575774431228638,0.3942059874534607,0.5707489252090454,0.1357782277282703,0.39426546608773877,0.5708350410156733,False
deepseek_v2_lite,mean_pool_hs,13,0.9998201727867126,0.1354789286851883,0.3940662741661072,0.5700986981391907,0.135503295865275,0.39413715075157985,0.5702012358384445,False
deepseek_v2_lite,mean_pool_hs,14,0.9997771978378296,0.135275736451149,0.3939601182937622,0.5697206258773804,0.13530588289441223,0.39404791302078196,0.5698475891523511,False
deepseek_v2_lite,mean_pool_hs,15,0.9997079372406006,0.13492316007614136,0.39519503712654114,0.5704842805862427,0.13496257761897643,0.39531049259982937,0.5706509464763244,False
deepseek_v2_lite,mean_pool_hs,16,0.9996424913406372,0.1348051279783249,0.3949393630027771,0.5697077512741089,0.1348533392148382,0.3950806077411909,0.5699114995702756,False
deepseek_v2_lite,mean_pool_hs,17,0.9995078444480896,0.13446643948554993,0.39509958028793335,0.5694369673728943,0.1345326504763951,0.39529412648692147,0.5697173569331286,False
deepseek_v2_lite,mean_pool_hs,18,0.9993537068367004,0.13396768271923065,0.39500245451927185,0.568871259689331,0.1340543211104751,0.39525790700230756,0.5692391550635311,False
deepseek_v2_lite,mean_pool_hs,19,0.9991694092750549,0.1331017017364502,0.3934747576713562,0.5660666823387146,0.13321234667604748,0.3938018458319705,0.5665372429180182,False
deepseek_v2_lite,mean_pool_hs,20,0.9988722205162048,0.1329822540283203,0.39349842071533203,0.5655792951583862,0.13313239801543056,0.3939427012115493,0.5662178640488188,False
deepseek_v2_lite,mean_pool_hs,21,0.9985597729682922,0.1315184384584427,0.39009973406791687,0.5599676370620728,0.13170812806477722,0.39066237658294284,0.5607752807801658,False
deepseek_v2_lite,mean_pool_hs,22,0.9982736110687256,0.13010287284851074,0.38749295473098755,0.5558052659034729,0.1303278694397481,0.38816307516748616,0.556766461359669,False
deepseek_v2_lite,mean_pool_hs,23,0.9977777600288391,0.12796707451343536,0.3808169960975647,0.5461056232452393,0.12825208141514066,0.3816651476442588,0.5473219038570823,False
deepseek_v2_lite,mean_pool_hs,24,0.9966447353363037,0.12370007485151291,0.3686460256576538,0.5373044013977051,0.12411651862062169,0.3698870947562467,0.5391132690992435,False
deepseek_v2_lite,mean_pool_hs,25,0.9936107397079468,0.18976767361164093,0.4272640645503998,0.5926527976989746,0.19098794530685081,0.43001152008077737,0.5964637599158538,False
deepseek_v2_lite,mean_pool_hs,26,0.9868972897529602,0.7733545303344727,0.8166322112083435,0.8553882837295532,0.7836221037024618,0.8274743680902829,0.8667449922206938,False
deepseek_v2_lite,mean_pool_hs,27,0.9748868942260742,0.17598296701908112,0.5006654262542725,0.6264354586601257,0.18051629174765688,0.5135625775867382,0.6425724485274049,False
llama,last_token_hs,0,1.0,0.03444338217377663,0.08657970279455185,0.11884482204914093,0.03444338217377663,0.08657970279455185,0.11884482204914093,False
llama,last_token_hs,1,0.9912687540054321,0.06455779075622559,0.16713881492614746,0.24379244446754456,0.0651264255988763,0.16861099903612167,0.24593980540842164,False
llama,last_token_hs,2,0.9855963587760925,0.07125867903232574,0.15571092069149017,0.21407760679721832,0.07230006320317003,0.1579865015784464,0.21720616649097463,False
llama,last_token_hs,3,0.9880045056343079,0.14852160215377808,0.23441459238529205,0.2924087643623352,0.15032482271771205,0.23726065118984022,0.29595893813723667,False
llama,last_token_hs,4,0.9824634790420532,0.16108667850494385,0.2302640974521637,0.2678747773170471,0.16396200158199337,0.23437420562103917,0.27265621881256824,False
llama,last_token_hs,5,0.9778885841369629,0.17402993142604828,0.2242707461118698,0.24763120710849762,0.17796498931382726,0.22934181843405024,0.2532304918223838,False
llama,last_token_hs,6,0.9794683456420898,0.20718228816986084,0.26654136180877686,0.2900625169277191,0.21152525152208224,0.2721286124198795,0.2961428189264951,False
llama,last_token_hs,7,0.9700424075126648,0.24504588544368744,0.3022426664829254,0.3230804204940796,0.25261358013411195,0.31157675596670176,0.3330580374547816,False
llama,last_token_hs,8,0.9681679010391235,0.27138492465019226,0.3222409784793854,0.34445154666900635,0.2803077073293981,0.33283584193767196,0.3557766646666456,False
llama,last_token_hs,9,0.9628689885139465,0.28884977102279663,0.33474522829055786,0.35378992557525635,0.2999886531485408,0.3476539719149022,0.3674330877778934,False
llama,last_token_hs,10,0.9559156894683838,0.255487322807312,0.2946614623069763,0.31505265831947327,0.2672697243303925,0.3082504718285849,0.32958205602283236,False
llama,last_token_hs,11,0.9429686665534973,0.2505415081977844,0.28236716985702515,0.30127042531967163,0.265694414972982,0.2994449125113169,0.3194914486615974,False
