model,DV,layer,b_prag,p_prag,b_sim,p_sim,b_mult,p_mult,b_mult_sd,p_mult_sd,R2,n
Qwen,caa_per_layer_l2,13,0.3721980199358726,0.27023769480130844,-0.6197045284070204,0.03446137149320269,-0.11308633449605265,0.5088640272543623,0.13641530471257468,0.4312225449392073,0.16109016068984594,45
Qwen,caa_per_layer_l2,14,0.041198585428587814,0.8887227766628741,0.022925664895476358,0.9336063543005501,-0.24886829196079724,0.25874059820416806,0.10632415793893296,0.5097148255914007,0.09007605368534877,45
Qwen,caa_per_layer_l2,15,-0.17235245517000464,0.5133082952147018,0.18414196169848648,0.4525713006181209,-0.33743298883767386,0.059690348428483336,0.11396501512378429,0.40289756690153544,0.15421752832222146,45
Qwen,caa_per_layer_l2,16,-0.32096088357889857,0.23187436728018496,0.09055743041661346,0.7057263952991979,-0.25678972889933716,0.14061709001708153,0.19542882608254725,0.11479996297643266,0.18949377493376718,45
Qwen,caa_per_layer_l2,17,-0.6643831555696683,0.008465236793184703,0.3036861394995077,0.17281537313073747,-0.27327181766335895,0.10245060338810243,0.18878894013752467,0.05623609352625028,0.31896076375357396,45
Qwen,caa_per_layer_l2,18,-0.6927186849013536,0.0055345331947468605,0.18551559402217965,0.3828373405430717,-0.22694907923459778,0.07434418185835047,0.23813773262678117,0.04237158965549674,0.4258816735808554,45
Qwen,caa_per_layer_l2,19,-0.8326583042327604,0.000140064547978447,0.18025558604732486,0.3120282021317401,-0.13054138559656825,0.21941536629028424,0.26701691235658687,0.00011057085587426967,0.5706672715982537,45
Qwen,caa_per_layer_l2,20,-0.910894621893092,7.02775568299928e-05,0.33313748487368294,0.06372017555588153,-0.17319365909195777,0.10680667336032641,0.24297053967809393,0.00047948264633189695,0.523547222673176,45
Qwen,caa_per_layer_l2,21,-0.9868733608026841,4.180450893670067e-05,0.5296183159200603,0.0046596799045864655,-0.20029553867054706,0.04538998771224276,0.2774399845657305,4.090956276611896e-05,0.4913506803998319,45
Qwen,caa_per_layer_l2,22,-0.956923454691408,0.0001494867846133336,0.5341975528684677,0.007538518519052152,-0.22360460631708964,0.013596973680096422,0.2508477871822927,0.0002907712442543725,0.4540237790095595,45
Qwen,caa_per_layer_l2,23,-0.9106418993541295,0.0003098503485956949,0.5374067253652086,0.00755655801552842,-0.2748183955671199,0.006391055797143842,0.2321415550218362,0.0020963481210327017,0.42914708013510117,45
Qwen,caa_per_layer_l2,24,-0.8747177062541924,0.00034347448385860344,0.5008044771770654,0.009122864153910192,-0.30404291526743554,0.004246541654351127,0.22975682643964915,0.000805488818651994,0.43489571311379727,45
Qwen,caa_per_layer_l2,25,-0.8435928811361033,0.0007506648470466797,0.4815203880429142,0.012463880172266305,-0.29677891677783985,0.007339043617156872,0.2435783206614391,0.0005321584405098988,0.4211450842407738,45
Qwen,caa_per_layer_l2,26,-0.8301567982343612,0.0005583209696923393,0.5113151205644276,0.006147432359252543,-0.3181782816198937,0.008655836101535294,0.25538010058015437,0.0004451431643960506,0.41997351942151306,45
Qwen,caa_per_layer_l2,27,-0.8274466069124735,0.0006449263413729492,0.4999940628950195,0.007989421033476465,-0.29959354824019596,0.00728476201489091,0.27271818130389003,0.00014023340533482275,0.42059568301450334,45
Qwen,caa_per_layer_l2,28,-0.7459266151024043,0.0010247770704087781,0.11109745639791879,0.6322876017465979,-0.08147196816251662,0.5524488340606237,-0.17823250920637795,0.04870967284187939,0.45616291783218155,45
Qwen,caa_per_layer_cosine,0,,,,,,,,,,45
Qwen,caa_per_layer_cosine,1,-0.4305850165967777,0.010263200224672283,0.3317767594979756,0.016352090136057353,0.1810588312941805,0.2510068847645165,-0.2114455666617558,0.2690263170270445,0.1437249728347071,45
Qwen,caa_per_layer_cosine,2,-0.6557336328594625,0.0007568379964555024,0.521620680757099,0.000420331936859505,0.18875081883379174,0.2867052354153917,-0.16401316858878992,0.37628660934564795,0.18595736814812547,45
Qwen,caa_per_layer_cosine,3,-0.5889049483965417,0.0002269766402716122,0.39596082734085425,0.005192142696229178,0.3263193439564264,0.07488761747734404,-0.06242532136286431,0.653168989600583,0.21913338750442957,45
Qwen,caa_per_layer_cosine,4,-0.5604537818789612,0.0009149228241165055,0.437870124999401,0.006005274926545686,0.3667114422771862,0.10835078331386247,0.013854142600034126,0.926091244492857,0.21196814735856828,45
Qwen,caa_per_layer_cosine,5,-0.5877540327757467,0.0004526056173347642,0.6569087561845204,9.917094054244312e-05,0.38528622397910806,0.062416729526638015,-0.12067577431613172,0.3874399857982914,0.2924784928343984,45
Qwen,caa_per_layer_cosine,6,-0.6122605744586096,0.002085236911571794,0.734802071104865,2.3099622957322795e-05,0.3768489436929866,0.005647452437487282,-0.2680919293910557,0.0015584482780541806,0.39716459283903305,45
Qwen,caa_per_layer_cosine,7,-0.5833426971578424,0.013169904577780596,0.6654980745247827,0.00041427683093848717,0.3111960512956988,0.08499732894676948,-0.29187020483584436,0.00514055592626622,0.33576235114584096,45
Qwen,caa_per_layer_cosine,8,-0.7438857953164068,0.005222960168484071,0.718198585353934,0.001480833218258011,0.23229092495928516,0.23027094630313716,-0.2835737618527898,0.012084975278588801,0.3083199320907982,45
Qwen,caa_per_layer_cosine,9,-0.6552552581535466,0.02525369056375494,0.7212872283432019,0.0029544657329856694,0.12805551682569666,0.50164183751168,-0.1711386100780731,0.16215926570999661,0.18551853216788805,45
Qwen,caa_per_layer_cosine,10,-0.5802925696976214,0.04581699139022035,0.6320539573089542,0.009112307412460288,0.18150860978582906,0.42748903353212475,-0.12948441484249415,0.3490758741673734,0.1607064626190684,45
Qwen,caa_per_layer_cosine,11,-0.5556225106075051,0.06456065263792245,0.6222313126733996,0.020960642524991357,0.2224067761643977,0.29828711438525024,-0.09012330264361663,0.5476344264372441,0.16308845831739738,45
Qwen,caa_per_layer_cosine,12,-0.5666591289035022,0.07625639990646431,0.6037025366051788,0.03260949321070346,0.2566350988951558,0.20513794049592549,-0.07749107436835595,0.6122682515024926,0.173267836416782,45
Qwen,caa_per_layer_cosine,13,-0.3517396985431743,0.29567212117012476,0.5604511079416258,0.05829451758766174,0.2212183557396793,0.23938101624519348,-0.06549826610743728,0.6752813945386335,0.15591558431951857,45
Qwen,caa_per_layer_cosine,14,-0.05312756806625124,0.8530941887013828,-0.01015384968150837,0.9703075046093614,0.3437996372365711,0.0673073587541302,-0.06660994387765258,0.6102047049559647,0.13772487847478854,45
Qwen,caa_per_layer_cosine,15,0.14709560038496347,0.561563347327056,-0.1477334365316185,0.5375845061725055,0.343857924443536,0.054725127357946955,-0.1185569535058322,0.3691786953522176,0.15801634928029706,45
Qwen,caa_per_layer_cosine,16,0.30591158544932345,0.21129919966674338,-0.07768754899310534,0.7259091536507467,0.2869088104691104,0.12321914431795884,-0.18317590887879043,0.13511765730742967,0.19999456687289607,45
Qwen,caa_per_layer_cosine,17,0.6321157886922011,0.008818567674089851,-0.2660875832692654,0.2159104724133012,0.281448577804236,0.10518005655543305,-0.19714898785084642,0.05307888161986645,0.3236497070995352,45
Qwen,caa_per_layer_cosine,18,0.6816619152247596,0.005392730052889571,-0.16251907595249696,0.4327443338419098,0.24232492595048621,0.0662749682479232,-0.21455558390468155,0.06915859230693676,0.42899126200458015,45
Qwen,caa_per_layer_cosine,19,0.8453084578119956,9.165776099731637e-05,-0.1774490727694237,0.30771596896147657,0.1132473342503627,0.2976945447600662,-0.24818627488834843,0.0014208652081088133,0.5738225729240201,45
Qwen,caa_per_layer_cosine,20,0.9022254191507637,0.0001041853362263656,-0.31073878711673936,0.08409909448708426,0.16641343295391456,0.1551906074197847,-0.2223014822026137,0.006101417645119263,0.5190916909600114,45
Qwen,caa_per_layer_cosine,21,0.9463875902213696,7.89144729805142e-05,-0.4662451950152556,0.010756981965496236,0.21041905495588323,0.06419461735165269,-0.24142081960968015,0.005409661053000756,0.4744490956030277,45
Qwen,caa_per_layer_cosine,22,0.910201415330085,0.0003751475225989507,-0.46736488606468285,0.018722477202503952,0.22967128512652044,0.029640881844364426,-0.22116848216971302,0.00789521522692688,0.4349355655817151,45
Qwen,caa_per_layer_cosine,23,0.8594023069151174,0.0009969821438531351,-0.4684722962522693,0.022136077140339994,0.26839499918286996,0.018371799115764274,-0.20636684086035767,0.013354180121432935,0.4008533331331603,45
Qwen,caa_per_layer_cosine,24,0.8087093862744603,0.0013751867649900713,-0.42795364526001956,0.030366386770694583,0.30754080730216155,0.018368716265552216,-0.19399083314229476,0.008172077940326754,0.3977725685138386,45
Qwen,caa_per_layer_cosine,25,0.7830580112969002,0.002202038652222285,-0.41165339096405695,0.034039562185446216,0.2806349644246212,0.041894763091590494,-0.21998267992939108,0.0024046586968060656,0.380425338796028,45
Qwen,caa_per_layer_cosine,26,0.7466920044439894,0.002109928167987517,-0.42911224072523957,0.02164139172386112,0.3038730303394578,0.05578601668705275,-0.23778274390264206,0.0010027154354738327,0.369719801767071,45
Qwen,caa_per_layer_cosine,27,0.7255378636404397,0.0026553104307343546,-0.4051314579787982,0.030898485307992905,0.31029175323000086,0.041321992915164585,-0.255010933443208,0.0005119254253642337,0.38033728691359325,45
Qwen,caa_per_layer_cosine,28,,,,,,,,,,45
Qwen,beam_per_layer_cosine,0,-0.5440804823558821,0.035261502017003454,0.1118313503707706,0.6190815157272187,-0.04168650149356491,0.7583908426152974,-0.4396962691897299,0.0001301401621879708,0.3889805216132677,45
Qwen,beam_per_layer_cosine,1,-0.4968262661362256,0.05483849164143539,0.15971129716438387,0.4241132172545947,-0.01288836851133129,0.9114907181809789,-0.4224606611239792,8.587350567894395e-05,0.3105564021665308,45
Qwen,beam_per_layer_cosine,2,-0.49433950069342814,0.05187953454251315,0.14592711552481896,0.45028853323134643,0.005732952361966727,0.9636899395436247,-0.4227686374976433,6.227366797555832e-05,0.3203828845597718,45
Qwen,beam_per_layer_cosine,3,-0.48100307454135593,0.07077866158242663,0.16544831708137195,0.4018295218250022,0.01897826009153905,0.885705439257117,-0.4019692127640264,0.00011419348183864721,0.28625600078417157,45
Qwen,beam_per_layer_cosine,4,-0.5285926670794803,0.022524040386410617,0.16134063814747834,0.3921741590088783,0.08108252242361966,0.5639226140667425,-0.3665886761945434,0.000537572157758243,0.3129151590737099,45
Qwen,beam_per_layer_cosine,5,-0.5259477118719735,0.02171948252217923,0.16328119133110422,0.3828819170102318,0.0775909736374141,0.582253764854803,-0.3910708074542625,0.0002724616168938884,0.32802373462349954,45
Qwen,beam_per_layer_cosine,6,-0.522941831096315,0.018440678233880372,0.15058994881180907,0.40597071558484743,0.06848343842314597,0.6129921571386256,-0.40880473305811593,0.00013301705337968953,0.344965439314631,45
Qwen,beam_per_layer_cosine,7,-0.515307760797992,0.012832895482564577,0.14198323871731325,0.41305461100287333,0.05587518986611768,0.6603953245385105,-0.4214260509844445,0.00020520827678503344,0.3509462619137155,45
Qwen,beam_per_layer_cosine,8,-0.47427063936483776,0.01539561987134358,0.13515752782749402,0.4226443131848364,0.037439890937797746,0.7478192840773945,-0.45013715795401,0.00043853824550096627,0.3442020480281064,45
Qwen,beam_per_layer_cosine,9,-0.44355777169717536,0.013215406409197258,0.1254019161532018,0.4363553851789649,0.044046813013135,0.7086691491245457,-0.4668489890785653,0.0006603122076656395,0.34587196034292333,45
Qwen,beam_per_layer_cosine,10,-0.4450058106248487,0.02606892700470862,0.17237274830922095,0.33061090479820376,0.10442547343245517,0.41121628534992827,-0.4774245007193826,0.0005484447251253042,0.3578536943459514,45
Qwen,beam_per_layer_cosine,11,-0.4300295763753399,0.0311549997693084,0.16734628530689716,0.3428799512783801,0.0970088145090777,0.4358221692592159,-0.49873986060442954,0.0004781361114151384,0.36986681456729165,45
Qwen,beam_per_layer_cosine,12,-0.41217287253919865,0.03758801105308669,0.1553752667175683,0.37966118344886934,0.10583343717916593,0.3995471871992923,-0.5022955312520114,0.0005207915028795304,0.372410251722028,45
Qwen,beam_per_layer_cosine,13,-0.39584921982567867,0.043269824090068035,0.1522363665094864,0.3869682314030254,0.09150069408987163,0.45810774389769393,-0.5127224593962557,0.00043810977338155026,0.36950851384146477,45
Qwen,beam_per_layer_cosine,14,-0.37493262833505775,0.07300200550975351,0.14073907022816654,0.44209682345733714,0.0870833111089882,0.49140696633002157,-0.5238255613498329,0.00026187590303170097,0.37311362137760395,45
Qwen,beam_per_layer_cosine,15,-0.4177646679868485,0.04083244744602216,0.15062581752241144,0.41066878267026385,0.09414901119051233,0.4533718993962509,-0.5082465512533508,0.00023654353909251778,0.37860837569675887,45
Qwen,beam_per_layer_cosine,16,-0.41592165336207715,0.03478845194414908,0.1332548374223421,0.4608975485343073,0.0965800672478622,0.4427341725135455,-0.5041842483021841,0.00023093603959413448,0.3819300930295608,45
Qwen,beam_per_layer_cosine,17,-0.4315073423686564,0.02922418676141098,0.13632258112660628,0.45355151527881166,0.1035997639522584,0.4129217147165195,-0.5063480632644072,0.00012002690642085034,0.3954979563108397,45
Qwen,beam_per_layer_cosine,18,-0.43725808333289956,0.026498531236193935,0.12909281720804947,0.47858992006155965,0.10550968975982958,0.3971861067252329,-0.50523964815336,8.344884001701358e-05,0.4023972963655136,45
Qwen,beam_per_layer_cosine,19,-0.41769705864388607,0.03970909213348405,0.10626499804383041,0.5804626790810388,0.08435719916671001,0.494902449583452,-0.5138718813914593,5.400868837964115e-05,0.40113707688215017,45
Qwen,beam_per_layer_cosine,20,-0.5075347803827894,0.020901324230640696,0.15971522851837355,0.4266587210286571,0.0578637484973009,0.651750841158928,-0.4812401997944516,3.979738292367233e-05,0.3909634125264718,45
Qwen,beam_per_layer_cosine,21,-0.5230934240229267,0.02038198786244749,0.17763640524119395,0.3952647448309655,0.04251919073814802,0.7366010733886852,-0.4823690682279119,4.1766348295602164e-05,0.388405800959724,45
Qwen,beam_per_layer_cosine,22,-0.5056370589443102,0.04296359034504448,0.20675589828729166,0.3504161405954349,0.04662498091741463,0.7190959803542128,-0.49383514691045205,8.663512973711948e-06,0.3742548765938808,45
Qwen,beam_per_layer_cosine,23,-0.527466162381476,0.0424747826940161,0.2345187930109453,0.2842655677819763,0.044634420386422936,0.7348192312548256,-0.4680100925070298,2.3449627722700424e-05,0.34973027727121264,45
Qwen,beam_per_layer_cosine,24,-0.5109840213543743,0.060596111176412226,0.24287343677181378,0.2665406261530685,0.049095068613076484,0.738705185763791,-0.42553954623019336,4.7784742270307504e-05,0.29837173871130873,45
Qwen,beam_per_layer_cosine,25,-0.47045591725113955,0.11176634277620918,0.2208167182562899,0.30785332551209166,0.03767614697968024,0.809860183792367,-0.38371251387939675,0.0002593378719648859,0.24547768151623184,45
Qwen,beam_per_layer_cosine,26,-0.2960109144511767,0.3313627101498996,0.13111455828714907,0.5123447756938441,0.0697082892124994,0.6994465866812442,-0.30886349385038026,0.0014548675781056004,0.14824496748755023,45
Qwen,beam_per_layer_cosine,27,-0.2706112100164755,0.35982133035807373,0.1098742073088112,0.564152574958596,0.05411115105194627,0.7514161368131282,-0.33420796502007233,0.0021617836798822824,0.15717239607625488,45
Qwen,beam_per_layer_cosine,28,-0.5116294807650036,0.04684956068442046,0.10182125898486427,0.6457197168945648,0.04205309157569847,0.751434674802911,-0.3682875167289814,0.0006790096219640555,0.3266880882876043,45
DeepSeek,caa_per_layer_l2,0,,,,,,,,,,45
DeepSeek,caa_per_layer_l2,1,0.3378625557059712,0.05757003081902767,-0.2696165734040619,0.08113285191483297,-0.2512380946958572,0.29531103755218047,0.31189223900302043,0.10084742560577427,0.2275124356615863,45
DeepSeek,caa_per_layer_l2,2,0.4095118800266798,0.016440995137133634,-0.2831074123298992,0.09945810590766879,0.01537943752480822,0.932060506255334,0.20560954330203368,0.3565392893689566,0.08753521491745397,45
DeepSeek,caa_per_layer_l2,3,0.2769763133638403,0.21024447244211586,-0.3169077922322021,0.23600238788210248,0.06436766485326986,0.6047242449520284,0.22257472780954132,0.2042043964669764,0.07141740019515319,45
DeepSeek,caa_per_layer_l2,4,0.08688667506706069,0.7070257271452068,-0.3473157059184196,0.15740578592542387,-0.06844247771788538,0.3838771040442922,0.27809469059611336,0.20879112804055555,0.16713982097759017,45
DeepSeek,caa_per_layer_l2,5,0.284735505028346,0.16851445998586068,-0.45846694634356705,0.055011171917220346,-0.030787302330094524,0.7788102456078376,0.39980478831778526,0.03556406178759081,0.2314593372152075,45
DeepSeek,caa_per_layer_l2,6,0.48913771271746287,0.0030780829669420514,-0.42682466814635456,0.010830084752232712,-0.3396300859024793,0.0026606159972944582,0.24051174281381027,0.16319773207387034,0.27222220948319764,45
DeepSeek,caa_per_layer_l2,7,0.47930850032846334,0.0029313532616381806,-0.40953493589221934,0.00761314345760557,-0.26747057518574024,0.0659200756315216,0.3682199370931834,0.014129654001942635,0.312083587976989,45
DeepSeek,caa_per_layer_l2,8,0.2207746734449488,0.1693735107958677,-0.22983169409056342,0.12167218944263422,-0.1298320889957857,0.404128759472809,0.009708530931759444,0.9548209150152943,0.031041278336842226,45
DeepSeek,caa_per_layer_l2,9,0.15086079356513618,0.1700671900873918,-0.12340270208664353,0.2258959034953233,0.0905097892424066,0.5827997884935702,0.12107087798888708,0.5514949015748263,0.023144555764152752,45
DeepSeek,caa_per_layer_l2,10,0.17939288336815928,0.15427821591213142,0.023174046785460173,0.8459402872500055,-0.08640415139889934,0.7076822954818871,0.19455976836032102,0.24587765344372936,0.09349740692244757,45
DeepSeek,caa_per_layer_l2,11,0.3045680518047529,0.011665282505129658,-0.1491229258666368,0.19169040878450472,-0.5300575745773284,0.04485511719508328,-0.14194990389805362,0.5292969418732616,0.30037049381909275,45
DeepSeek,caa_per_layer_l2,12,-0.03965325545764506,0.8808849617875165,0.1768178698636071,0.5066638667509125,-0.22223499961196325,0.21681692563954724,0.260441526060778,0.2424577613794826,0.16625961624995,45
DeepSeek,caa_per_layer_l2,13,-0.014231831084461508,0.9595407273005377,0.02751412630268829,0.9164530801387111,0.013302943002744538,0.9520761934606519,0.2397359376440808,0.27429259098148906,0.05636644975533345,45
DeepSeek,caa_per_layer_l2,14,-0.26199531322493796,0.36446265694344937,0.19090469918762032,0.44711782053655624,0.09366710629190417,0.6425860810406417,0.2699301689928675,0.09285501556533877,0.08749302332551356,45
DeepSeek,caa_per_layer_l2,15,-0.4039134807207233,0.13584160470757162,0.05827877983715585,0.7984635368199741,0.12374514510313286,0.20520763479184867,0.2545447303681597,0.14236668363189212,0.19033821516684257,45
DeepSeek,caa_per_layer_l2,16,-0.5165060386329132,0.04686483074573532,0.10078541593043736,0.6200432812067919,0.2080471844658015,0.02273097674900429,0.25660298197080633,0.16986749670305878,0.26951627608624584,45
DeepSeek,caa_per_layer_l2,17,-0.4632169888974511,0.07468152639727697,-0.01635770719255214,0.9344478646376825,0.0729456339118435,0.4546845368871365,0.2603719272464218,0.18865896261786397,0.2917949973933429,45
DeepSeek,caa_per_layer_l2,18,-0.42833999365470443,0.096965867275755,-0.0209649458218637,0.9129167355065567,0.03721941865224722,0.7384016805716395,0.24746557502017763,0.21843523599395254,0.2576138263508606,45
DeepSeek,caa_per_layer_l2,19,-0.42533988952834845,0.12132098299022442,0.01689769584463169,0.9297094525367092,0.027565113721725303,0.7397542895580893,0.32629542153390867,0.09467770555775054,0.2715405406387412,45
DeepSeek,caa_per_layer_l2,20,-0.4183059458613658,0.13360864923524848,0.062186866491733106,0.7403268737411275,-0.011164975481879905,0.9031601471343282,0.3578746700486295,0.06156227215075397,0.2638436328724779,45
DeepSeek,caa_per_layer_l2,21,-0.37981509148070247,0.18682471502564635,0.019222099919540436,0.918574777032509,-0.06156793657718293,0.54207001254825,0.36441656127956357,0.042435668882827064,0.2795441397584344,45
DeepSeek,caa_per_layer_l2,22,-0.3903413837936103,0.1725608064120665,0.03580833856491361,0.842675776718897,-0.09408233682096645,0.4169271123676398,0.3647198264281678,0.04062175105268318,0.28807768753795404,45
DeepSeek,caa_per_layer_l2,23,-0.4420998673006278,0.11270425238252621,0.07271189866861877,0.6788479361893749,-0.14724522979679983,0.18041463870761654,0.3676199473020265,0.039611062216646266,0.32829536807816795,45
DeepSeek,caa_per_layer_l2,24,-0.48012975903298194,0.09062766834030676,0.1550602121156272,0.38529459867126026,-0.12706150126501314,0.23846249288795318,0.4068278188661077,0.017067243532680177,0.33231451423223135,45
DeepSeek,caa_per_layer_l2,25,-0.4768302101124965,0.08219044471319567,0.17721134621664564,0.3043641487209182,-0.20901034503153332,0.0860648501964001,0.3698564985570021,0.047311825919645195,0.3304506932704241,45
DeepSeek,caa_per_layer_l2,26,-0.47617085270168,0.09262660831946663,0.16406902975131238,0.33730580315597014,-0.22712422830346274,0.08294028130958142,0.34376101380687624,0.040266407174305956,0.3260611444849624,45
DeepSeek,caa_per_layer_l2,27,-0.5538530800062852,0.0389931947551157,0.2139395601220091,0.20224822511908624,-0.26549246288395373,0.042712251935553246,0.30519347477847136,0.07225072064014267,0.350166134559484,45
DeepSeek,caa_per_layer_l2,28,-0.5113442475052924,0.05054130121784851,0.1574279644062071,0.3426572517435904,-0.2972647764128853,0.032378277053358634,0.2825579986858031,0.1104848912590356,0.35588693131544835,45
DeepSeek,caa_per_layer_l2,29,-0.5213041846812108,0.05159040781397798,0.14742368804954925,0.39339879243501263,-0.27217830975731716,0.052261567243629785,0.26691582499234356,0.14044908260419514,0.3410113830055903,45
DeepSeek,caa_per_layer_l2,30,-0.81890324029529,0.004967202136838627,0.48866225428278004,0.0061616433601232225,-0.12092585073813954,0.2657068254914815,0.08933106976014839,0.6426725794434706,0.24256315560539032,45
DeepSeek,caa_per_layer_cosine,0,,,,,,,,,,45
DeepSeek,caa_per_layer_cosine,1,-0.36245245261615866,0.04236518106484272,0.29625846431104663,0.06246878640200134,0.19725264337797035,0.3595432225292392,-0.34788342244131865,0.06662789322110788,0.226294188240867,45
DeepSeek,caa_per_layer_cosine,2,-0.43917054691341734,0.012703224170139178,0.3066058968878545,0.08301247498424764,-0.0866491725055419,0.5877321792287232,-0.19871646625766037,0.37009775812587564,0.09166271992605579,45
DeepSeek,caa_per_layer_cosine,3,-0.43363478838598646,0.04577526356041176,0.3814161859746024,0.10496396247555145,-0.051978461074496926,0.6683947766388375,-0.19749524489817255,0.34098185885932497,0.08304804381577224,45
DeepSeek,caa_per_layer_cosine,4,-0.2594644877233555,0.28269534726941004,0.3613088136153149,0.12270997827288121,0.01768833885821383,0.8083861558215774,-0.25610062230464786,0.2996591229255213,0.10323356643254478,45
DeepSeek,caa_per_layer_cosine,5,-0.34705900576554755,0.13680566128870644,0.538798047377849,0.039750211467287896,0.001875313167161663,0.983785640773269,-0.3840509612177526,0.02538439356755133,0.23396382738882282,45
DeepSeek,caa_per_layer_cosine,6,-0.5276804798109778,0.003258544476247255,0.46289789161865785,0.009633630085385508,0.30930720478919654,0.028998849916402152,-0.2568825959287069,0.0613963544485301,0.2692730260433759,45
DeepSeek,caa_per_layer_cosine,7,-0.5075027332139491,0.0029674487472804226,0.43832103562286967,0.0073130785622268655,0.2621508087169974,0.10379152388787596,-0.332767677713971,0.004855388171895886,0.285717822283988,45
DeepSeek,caa_per_layer_cosine,8,-0.34312424541403586,0.025525889436308014,0.3258883941075096,0.014879551447139452,0.13235374599004834,0.459354183626284,-0.1677519438939623,0.28657184177930595,0.08635030726290616,45
DeepSeek,caa_per_layer_cosine,9,-0.22029418600032438,0.0555898673804314,0.1633103380298926,0.12679320411204806,0.043336653425224705,0.8098656280750678,-0.08883788574479448,0.711062653277809,0.024399145962728408,45
DeepSeek,caa_per_layer_cosine,10,-0.2312851232480477,0.018101974235009918,0.04632388288746439,0.6341825711720717,0.08697519909794833,0.7043005334427496,-0.04847526353515601,0.8319425502280475,0.0490197337709134,45
DeepSeek,caa_per_layer_cosine,11,-0.3517257024187362,0.0044829699599663484,0.2458960070668036,0.03770863622181923,0.3565583482772469,0.15274521286839593,0.056340441404612515,0.8058670856982475,0.15448328190220173,45
DeepSeek,caa_per_layer_cosine,12,-0.0009629755538910906,0.9965301795644643,-0.060911261113861415,0.7890355701660909,0.16744183229053994,0.4844059023933617,-0.08544698400121808,0.7338882583191499,0.04616551683571968,45
DeepSeek,caa_per_layer_cosine,13,-0.019491479012713253,0.9423638297890715,0.13916167588953973,0.5856710946183319,0.07309392947257386,0.6911869025305104,-0.12485098603498213,0.5708950343842488,0.04044148587980767,45
DeepSeek,caa_per_layer_cosine,14,0.20996974276044178,0.46048135732322026,-0.027534527052463287,0.9118869353882618,-0.025077595755670246,0.8782065493775892,-0.09391979482597479,0.5540679193134587,0.043103400736641095,45
DeepSeek,caa_per_layer_cosine,15,0.40736433296846974,0.13879006955006085,0.0039428645986011035,0.9866196651426734,-0.066388130789513,0.5504775833890903,-0.1870751409201833,0.12764126392449487,0.20206517226448428,45
DeepSeek,caa_per_layer_cosine,16,0.520947598831627,0.048662153128760516,-0.06114583273880353,0.7705659525112752,-0.07891270230528627,0.37070259984582965,-0.20088596563705297,0.257865947745603,0.25863418261743,45
DeepSeek,caa_per_layer_cosine,17,0.460464977484836,0.07779005902083627,0.023503962614517038,0.9036099222152101,0.012704227990950032,0.8857674926516004,-0.22720432370334884,0.29172377273543504,0.2845681649109726,45
