model,family,DV,b_prag,p_prag,b_sim,p_sim,b_mult,p_mult,b_mult_sd,p_mult_sd,R2,n
DeepSeek,output_shape,shape_PC2,0.07431613197300758,0.7105001654601069,-0.11177551801656996,0.5439898588044552,-0.305376714679949,0.1432030788781719,0.4022120294927703,0.013454190610819003,0.31884394666423843,45
DeepSeek,output_shape,exp_k,-0.021730505277857696,0.9347683556534478,-0.1604882402277657,0.6398806635234646,-0.1505335414977106,0.28164887952312057,-0.0497290578885467,0.772773515049596,0.053746466257043046,45
DeepSeek,output_shape,halflife_rel,-0.15874592360271222,0.5692532244569698,0.010480040663215655,0.9686886008947324,0.4031048498456306,0.04128943038606423,-0.21133297906155082,0.18138966801777767,0.271343531777664,45
DeepSeek,output_shape,log_h_fb_quintile,0.08105229838988236,0.7534216471200368,-0.022179209478881752,0.9038949591628512,0.29887446941960877,0.20466606792043884,-0.3190679821027263,0.011695845300449587,0.2418244275991137,45
DeepSeek,output_convergence,beam_score_entropy,0.2730140894264013,0.16578313198381234,-0.09918844746557363,0.5864145917345323,0.13773978650482674,0.47643351381678134,0.056768081225664284,0.7012690821644114,0.05572302867165446,45
DeepSeek,output_convergence,beam_sbert_cosine,0.16835456639861163,0.20947585138243463,0.008505754424701903,0.9519111147607338,0.18975920606899813,0.21223032835516054,-0.4535170092819397,0.023619401543618693,0.3147808582738282,45
LLaMA,representation,caa_mean_l2,-0.228220910742949,0.31284455282530654,0.3773921992152392,0.08579083465528627,0.04134847394788402,0.8433703925514061,0.14954804403049138,0.32437094825594925,0.06602422972357447,45
LLaMA,representation,caa_mean_cosine,0.29278315130265925,0.15274997738212012,-0.24842808096384023,0.24555839324966544,0.002480151223726076,0.9900392276463247,-0.13850088972065785,0.3812644892573299,0.04051946144332341,45
LLaMA,output_shape,shape_PC2,-0.05890940812060522,0.746111427273014,-0.3109836383706469,0.14059982878428537,-0.21011034235743312,0.405893206747728,0.3789658435421718,0.02550094472118591,0.35878600023590623,45
LLaMA,output_shape,exp_k,-0.17510506250196095,0.569942757974917,-0.24402045962444813,0.27611245120217,-0.005757051653036022,0.9555135277634033,0.0732938041725849,0.5703868458905441,0.17000189643927144,45
LLaMA,output_shape,halflife_rel,-0.05336670438679718,0.6676477129385403,0.12623636872434502,0.3185696262923863,0.24655723904535573,0.2040165571482676,-0.32530752513489963,0.10362088121586961,0.21302709270689468,45
LLaMA,output_shape,log_h_fb_quintile,0.0719413400164628,0.6959523723342464,0.08830577969262891,0.6157643205650425,0.3174486872488075,0.08737840894726714,-0.33970522298501854,0.09345807964944945,0.2930471338786995,45
LLaMA,output_convergence,beam_score_entropy,0.4151102229843591,0.093823943689055,-0.09170588946747238,0.5759280568136533,-0.15978490352117475,0.2787297811986804,-0.09604306556674556,0.3866389329889782,0.1418681295801174,45
LLaMA,output_convergence,beam_sbert_cosine,0.28094233291798926,0.14650021144615158,0.13117959986545438,0.29173311087360476,0.12534379275993351,0.24751337237203874,-0.4581195979042189,0.0014865019862843533,0.4138563497176765,45
Mistral,representation,caa_mean_l2,-0.4995449366687287,7.887445901475934e-05,0.10243853350657155,0.5348612717405983,-0.20101953252223745,0.3556658823843869,0.2690590585875232,0.11079859386730163,0.310516973103535,45
Mistral,representation,caa_mean_cosine,0.3616532461808718,0.00385880852611744,0.14497087313350204,0.3403911873495996,0.19428484439286436,0.23703694759165828,-0.33104715078558283,0.04987145626727096,0.4217041761281304,45
Mistral,output_shape,shape_PC2,-0.2912868470573046,0.10360890082289144,0.3626482455580856,0.058715422797775446,-0.35344350679052206,0.028783779947771267,0.17866945176759638,0.4157543652964534,0.22077560705381227,45
Mistral,output_shape,exp_k,0.0925187582429625,0.6677967777434072,-0.23201081966890702,0.10277317396032477,0.1573069840932155,0.4382207617002808,0.07342578158466828,0.7615974202054276,0.049596693208521225,45
Mistral,output_shape,halflife_rel,-0.0945643293320271,0.48070933899352175,-0.10807634793376805,0.4231214440419181,0.23707536150122943,0.34055204649976023,-0.2651113803768909,0.16036421496492193,0.1956696209993698,45
Mistral,output_shape,log_h_fb_quintile,0.2094958972404912,0.2404617729154802,-0.2940480494041331,0.08319723364828263,0.320602072094715,0.15667102017829562,-0.1652553306975202,0.4181481891394042,0.17947649086415918,45
Mistral,output_convergence,beam_score_entropy,0.20508377154348356,0.26720110539964914,-0.21646546423515003,0.29958544879315163,-0.04384978844447528,0.8488347665874718,-0.03610800105599182,0.821571819522251,0.01429539119805534,45
Mistral,output_convergence,beam_sbert_cosine,0.34866921105961846,0.0031490242062879956,-0.04587448215274526,0.717588289883825,0.06116984752027268,0.7403658120672343,-0.5043564747960749,0.001529495025402855,0.36914876771555094,45
DS-V2-Lite,representation,caa_mean_l2,0.17517920748709284,0.39278178835815547,0.0137204485400004,0.9531240430055379,-0.2598951018180056,0.17478564218808734,0.372418256134149,0.002314361567252306,0.28874357412628293,45
DS-V2-Lite,representation,caa_mean_cosine,-0.18831071988623405,0.36067907426407275,0.058278561481288293,0.8175880934371114,0.1676823489801021,0.38276110718857326,-0.35356056956161686,0.009941960175213498,0.20199361995727338,45
DS-V2-Lite,output_shape,shape_PC2,0.011858414311342696,0.9720098800018375,3.249947360506458e-05,0.9999033216921981,-0.3705490389142335,0.014903313162529559,0.1596619709724066,0.23477909018984566,0.1919460162808878,45
DS-V2-Lite,output_shape,exp_k,-0.11952516530575999,0.7099399928217403,-0.1196767034576471,0.7120868845486827,-0.10345827606837792,0.21238174739656135,-0.03441622387430234,0.7863931918842532,0.063584967914593,45
DS-V2-Lite,output_shape,halflife_rel,0.1317101722650452,0.6355711139429188,-0.08422577638540685,0.6958166614581485,0.4157664818683167,0.041933547470544306,-0.283419020859491,0.01735477473400815,0.31614304689563344,45
DS-V2-Lite,output_shape,log_h_fb_quintile,0.10662944343859765,0.6894805362018543,-0.1576594135898917,0.4898765831718771,0.3481922486545328,0.15960141931385097,-0.3426383544773225,0.009112945299048644,0.304171709733272,45
DS-V2-Lite,output_convergence,beam_score_entropy,0.5075908855918899,0.03102621984361169,-0.62254018998601,0.018987872652357952,-0.22351738281037783,0.006148684703709813,0.05295794305839509,0.7652140787383408,0.15517312734514144,45
DS-V2-Lite,output_convergence,beam_sbert_cosine,0.09119679560511441,0.6905722325328871,-0.07614483030537633,0.7535412546867559,-0.024675904233156472,0.8961867832236983,-0.4217067235944138,0.008391298546278196,0.17540275563762275,45
