model,pooling,layer,standardised,skipped,point,ci_lo,ci_hi,rho_mb,rho_ma,rho_ba,n_boot_valid
deepseek,mean_pool_hs,17,True,False,0.2362452386835556,0.12847157903015613,0.2975929647684097,0.3501893043528216,0.35656978622474966,0.42048917922079576,1000
deepseek,mean_pool_hs,18,True,False,0.21895417876162174,0.1127377076074481,0.2893628410995006,0.33386522372754585,0.3517410841644414,0.42048917922079576,1000
deepseek,mean_pool_hs,19,True,False,0.20505619129541217,0.10178974214941264,0.27402788773179054,0.3190993810600305,0.34331509553441214,0.42048917922079576,1000
deepseek,mean_pool_hs,20,True,False,0.18382627929222714,0.08756864126771689,0.2563375420868396,0.29346278016395266,0.32244859494249606,0.42048917922079576,1000
deepseek,mean_pool_hs,21,True,False,0.17866159708407778,0.07545206137001514,0.25581649243831633,0.2885637514031081,0.32118033197196916,0.42048917922079576,1000
deepseek,mean_pool_hs,22,True,False,0.16932212824535947,0.07007277254015207,0.24630991742014885,0.27928234017944864,0.31777186268783547,0.42048917922079576,1000
deepseek,mean_pool_hs,23,True,False,0.16226234914209442,0.06298340503126383,0.2488506842404604,0.2759499897206381,0.3251697011632727,0.42048917922079576,1000
deepseek,mean_pool_hs,24,True,False,0.1578952926038693,0.057156829815357926,0.24419085532426832,0.2719612458283465,0.3245183178310342,0.42048917922079576,1000
deepseek,mean_pool_hs,25,True,False,0.1615150793191433,0.0588214018382132,0.2459136813879013,0.2773048605213354,0.33056974114581567,0.42048917922079576,1000
deepseek,mean_pool_hs,26,True,False,0.16300755671473666,0.06248756572604179,0.2486451718956232,0.2785557609877307,0.3304962544445495,0.42048917922079576,1000
deepseek,mean_pool_hs,27,True,False,0.1610807707589649,0.062229887489229446,0.2484278380870819,0.28037054457289645,0.3398986812309344,0.42048917922079576,1000
deepseek,mean_pool_hs,28,True,False,0.1575797882635746,0.05609496608376503,0.24761353731155394,0.2770134244906082,0.33889623457024304,0.42048917922079576,1000
deepseek,mean_pool_hs,29,True,False,0.16213906735827072,0.05959406476467848,0.2509026274085045,0.28388802810141606,0.3470285855785688,0.42048917922079576,1000
deepseek,mean_pool_hs,30,True,False,0.18982330243519044,0.07213443610817194,0.28216196671128274,0.30822539922796893,0.3492177027138291,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,0,True,False,,,,,,0.42048917922079576,0
deepseek_v2_lite,last_token_hs,1,True,False,0.022375244438792803,-0.03765247594565153,0.12272490300238131,0.09105837787807397,0.16896813175984976,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,2,True,False,0.05597263382237904,-0.02074139881879091,0.1561805300414562,0.1354816821031289,0.20396583313615166,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,3,True,False,0.0780289636349658,-0.01202332256361842,0.17996797151863572,0.1584131846764623,0.21220535946476898,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,4,True,False,0.05561608465443556,-0.03434320846572518,0.14845961220562456,0.14179394324251998,0.22015221282376948,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,5,True,False,0.07320993773362945,-0.029991942085325716,0.17773053944110867,0.1555011755579226,0.2155572904864558,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,6,True,False,0.10842075040073458,0.025612413324415686,0.19297635108232497,0.20269224347278078,0.25588625292553163,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,7,True,False,0.061685923244306176,-0.008073963783681389,0.150337553396821,0.1413134875429677,0.20581801524817522,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,8,True,False,0.05766747172547618,-0.018110009795054793,0.15839169137179848,0.13629087464209894,0.2022662645675219,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,9,True,False,0.09210929471158003,0.0032379216543631656,0.1871416311711073,0.18121100360833903,0.23791357255282838,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,10,True,False,0.13461433369171869,0.029878141870722175,0.23067544847726817,0.220120869253195,0.24163479218101253,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,11,True,False,0.1641223211744226,0.05679096654057503,0.2573020994663238,0.25054130392909546,0.25324712559185814,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,12,True,False,0.17916866909686643,0.07379182614386082,0.27576604038476943,0.2610566304820366,0.24613836938612296,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,13,True,False,0.15650863735328557,0.06079295538365841,0.25788758173584936,0.23312644497744373,0.22540635118895072,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,14,True,False,0.1318380649495872,0.041606106981635096,0.251104074716568,0.1962959892095919,0.18739779750759256,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,15,True,False,0.10890852321089202,0.02845133529044688,0.23332277461886405,0.17027197428379232,0.17350810603022881,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,16,True,False,0.10583362351609595,0.03009880082681775,0.22814405150711528,0.16244482986939957,0.1609411009716489,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,17,True,False,0.08534413116885932,0.011670190701261164,0.20776948146522042,0.13621293273561785,0.14164728009696734,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,18,True,False,0.07264911416259506,0.002353511686669664,0.18790650255978106,0.12968590288019408,0.1535185854910699,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,19,True,False,0.07531409473863661,0.006364117888733745,0.18539244979619976,0.1228856030206707,0.13114118001746702,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,20,True,False,0.06225922152048105,-0.0009578458761097863,0.16784158051013945,0.10442906846311872,0.11490322854521778,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,21,True,False,0.0634065396690336,0.0006776778289349762,0.16316347904503342,0.10661432514445499,0.11768554487708371,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,22,True,False,0.06185963159160558,-0.001780698596849106,0.16196802780032155,0.10187353049311386,0.10960225508449718,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,23,True,False,0.05684161170706171,-0.004360985942184924,0.15474287569522854,0.08961881307791503,0.09099043086772897,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,24,True,False,0.046968238289022565,-0.007739006646443157,0.14776379503309725,0.07894350693782658,0.0867801205325984,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,25,True,False,0.0436325697788921,-0.008266446599736809,0.14301825650036332,0.0727214012675676,0.07909286962260183,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,26,True,False,0.042926463954305855,-0.0058009172789752475,0.13725176230072975,0.06845724825834508,0.07041045668021106,0.42048917922079576,1000
deepseek_v2_lite,last_token_hs,27,True,False,0.024506948270789124,-0.016393192671239377,0.11769966650754206,0.0541159931518795,0.07597141624561303,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,0,True,False,0.07089433553790056,-0.015885062562301756,0.154249070584774,0.16947820111703463,0.2551428161389597,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,1,True,False,0.06983253883544843,-0.012526030000299216,0.15800932981073854,0.1511443918999799,0.2122015132237569,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,2,True,False,0.09443372104209817,0.010042608017101884,0.17097446396946905,0.17751268891693814,0.2235529577145067,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,3,True,False,0.07061467043246973,0.018406684417277577,0.15440262816846367,0.10975078616420186,0.10955795529251884,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,4,True,False,0.03871917217620667,-0.00032841883876244527,0.1643727920949459,0.03579194807940166,0.001574788347757201,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,5,True,False,0.044335192276155296,0.005538934539072216,0.1721354257315397,0.04334030338351235,0.0074108840025344375,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,6,True,False,0.04730274740056542,0.009344686940312387,0.1745482414960861,0.049521535249778946,0.015717812303871467,0.42048917922079576,1000
