model,pooling,layer,standardised,condition,mean_cos,ci_lo,ci_hi
deepseek,last_token_hs,19,False,DI,0.8367975950241089,0.8120703382149658,0.8527217455863527
deepseek,last_token_hs,19,False,II,0.8033238053321838,0.7901318348476928,0.8095984446290424
deepseek,last_token_hs,19,False,SI,0.8065042495727539,0.7815866646954519,0.8173608563036854
deepseek,last_token_hs,19,True,DI,0.0708249881863594,0.03594509214175176,0.07661080187092816
deepseek,last_token_hs,19,True,II,-0.02989366091787815,-0.022507691755890548,-0.0224513332026411
deepseek,last_token_hs,19,True,SI,0.026009323075413704,0.025277081876993505,0.025295045525158214
deepseek,last_token_hs,20,False,DI,0.8082796335220337,0.7881947313465237,0.8230237057591479
deepseek,last_token_hs,20,False,II,0.7753531336784363,0.7658001231078423,0.7765016247953576
deepseek,last_token_hs,20,False,SI,0.778876006603241,0.7626220244469566,0.7864644852380199
deepseek,last_token_hs,20,True,DI,0.04392993450164795,0.024587679766413253,0.041870291979971434
deepseek,last_token_hs,20,True,II,-0.03846248611807823,-0.02836233377456545,-0.02832625144914281
deepseek,last_token_hs,20,True,SI,0.00764674786478281,0.015046819113195784,0.015055178272902233
deepseek,last_token_hs,21,False,DI,0.7938176989555359,0.7744650736674064,0.8075182561127264
deepseek,last_token_hs,21,False,II,0.7598403096199036,0.7425121427529142,0.7688771934329863
deepseek,last_token_hs,21,False,SI,0.764040470123291,0.7472807653209848,0.7711497957198746
deepseek,last_token_hs,21,True,DI,0.025059182196855545,0.017233116552328204,0.017809804088601854
deepseek,last_token_hs,21,True,II,-0.04333864524960518,-0.03251561149954791,-0.03250028586381859
deepseek,last_token_hs,21,True,SI,-0.0024830917827785015,0.005140375345945997,0.005143454737662519
deepseek,last_token_hs,22,False,DI,0.7927436232566833,0.7707435158845853,0.8090006621115693
deepseek,last_token_hs,22,False,II,0.7620431184768677,0.7443253682611395,0.7728072911332683
deepseek,last_token_hs,22,False,SI,0.767041027545929,0.7552061110442329,0.7740214875856247
deepseek,last_token_hs,22,True,DI,0.02067658305168152,0.013633968308641817,0.014216681198225627
deepseek,last_token_hs,22,True,II,-0.044316504150629044,-0.03292889520525932,-0.03292870232662122
deepseek,last_token_hs,22,True,SI,-0.004915750585496426,0.002575390739381595,0.002586106914669933
deepseek,last_token_hs,23,False,DI,0.7886651754379272,0.766086582335381,0.8039307198522239
deepseek,last_token_hs,23,False,II,0.7620810866355896,0.7400704390698393,0.7738411904230698
deepseek,last_token_hs,23,False,SI,0.7659493088722229,0.7536395682081168,0.7734223716804635
deepseek,last_token_hs,23,True,DI,0.008016183972358704,0.006485905964012252,0.006706697994247798
deepseek,last_token_hs,23,True,II,-0.046214066445827484,-0.03510734811425209,-0.03510314582094752
deepseek,last_token_hs,23,True,SI,-0.011553199961781502,-0.004611258395001624,-0.004572880578464811
deepseek,last_token_hs,24,False,DI,0.7829371690750122,0.7589215709968112,0.7975644508881252
deepseek,last_token_hs,24,False,II,0.7578392624855042,0.7349686212188247,0.7713290523530594
deepseek,last_token_hs,24,False,SI,0.7636599540710449,0.7503213546677562,0.7725880025818164
