prompt_id,condition,domain,gen_len_H,gen_len_EAS,H_total,H_mean,H_half_life,half_life_rel,H_front_auc,H_mid_auc,H_back_auc,H_fb_ratio,EAS_front_auc,EAS_mid_auc,EAS_back_auc,EAS_fb_ratio
24,stochastic_information,economic,110,110,51.8840399,0.47167308999999996,55,0.509090909090909,0.4510012694444444,0.5025090621621622,0.4609502405405406,1.022059740781554,0.19452993805555552,0.32216046054054054,0.2628869951351351,1.351396076937307
25,no_context,social,150,150,68.2086692,0.45472446133333333,72,0.4866666666666667,0.476590484,0.44534965800000004,0.4422332420000001,0.9279103482897072,0.2193405732,0.2533125698,0.2751122352,1.2542697011607882
26,direct_information,social,150,150,66.93234720000001,0.4462156480000001,74,0.5,0.44263841200000004,0.451672536,0.44433599599999996,1.0038351484055115,0.1950299186,0.2733233292,0.23687466879999997,1.2145555435821218
27,implicature_information,social,150,150,71.8218696,0.478812464,78,0.5266666666666666,0.466079916,0.48156788400000006,0.488789592,1.048724854301596,0.26490337,0.303827684,0.2752695556,1.0391319506429835
28,stochastic_information,social,66,66,32.119111999999994,0.48665321212121204,32,0.5,0.4389597,0.5130188181818182,0.5079811181818182,1.1572386216361508,0.19592952227272728,0.2518587259090909,0.2723505395454546,1.3900434012509448
29,no_context,social,150,150,73.4171797,0.4894478646666667,74,0.5,0.4943132559999999,0.49091328599999995,0.483117052,0.9773499822954375,0.21672476459999998,0.2696084734,0.2543876008,1.1737818761483616
30,direct_information,social,123,123,57.88928839999999,0.4706446211382113,57,0.4715447154471545,0.4670768121951219,0.531221956097561,0.4136350951219512,0.8855825943873973,0.2330856085365854,0.32830997243902443,0.24271023414634146,1.0412922345149653
31,implicature_information,social,68,68,40.39103239999999,0.5939857705882352,37,0.5588235294117647,0.5152489272727273,0.6003591391304346,0.6629259043478261,1.2866128763368228,0.22096908545454544,0.2772024595652174,0.3491974669565217,1.5803000959985127
32,stochastic_information,social,105,105,54.6001815,0.5200017285714286,52,0.5047619047619047,0.5366918199999999,0.5250126685714286,0.4983006971428572,0.9284670989448978,0.20837352485714283,0.30428188914285714,0.23106723228571424,1.1089087850490114
33,no_context,social,88,88,33.0080283,0.37509123068181816,46,0.5340909090909091,0.29138025517241384,0.4472726689655172,0.38623644999999995,1.3255409148140747,0.10526130862068966,0.22118793413793103,0.22529086966666664,2.140300862860302
34,direct_information,social,92,92,37.14632290000001,0.40376437934782616,47,0.5217391304347826,0.3674202699999999,0.45137061935483874,0.3913298580645162,1.0650742215842266,0.1435537236666667,0.22736727161290324,0.21845670806451611,1.5217766734618112
