model,metric,cond_a,cond_b,mean_a,mean_b,delta,W,p,sig,n
qwen,eas_mean,implicature_information,stochastic_information,0.4189635792639048,0.3915933860164904,0.02737019324741441,25.0,0.04791259765625,*,15
qwen,eas_mean,no_context,stochastic_information,0.4267944514023265,0.3915933860164904,0.03520106538583612,25.0,0.04791259765625,*,15
qwen,beam_sbert_cosine,direct_information,stochastic_information,0.7569696108500162,0.7698855241139729,-0.012915913263956691,41.0,0.30279541015625,ns,15
qwen,beam_sbert_cosine,direct_information,no_context,0.7569696108500162,0.7246215144793192,0.03234809637069702,20.0,0.02154541015625,*,15
qwen,beam_sbert_cosine,implicature_information,stochastic_information,0.7303936084111532,0.7698855241139729,-0.039491915702819735,32.0,0.12054443359375,ns,15
qwen,beam_sbert_cosine,no_context,stochastic_information,0.7246215144793192,0.7698855241139729,-0.04526400963465371,25.0,0.04791259765625,*,15
qwen,beam_first_divergence_position,direct_information,stochastic_information,0.0,0.7333333333333333,-0.7333333333333333,0.0,0.06559969214707187,†,15
qwen,beam_first_divergence_position,direct_information,no_context,0.0,0.0,0.0,0.0,1.0,ns,15
qwen,beam_first_divergence_position,implicature_information,stochastic_information,0.13333333333333333,0.7333333333333333,-0.6,3.0,0.2228009911811345,ns,15
qwen,beam_first_divergence_position,no_context,stochastic_information,0.0,0.7333333333333333,-0.7333333333333333,0.0,0.06559969214707187,†,15
qwen,beam_length_mean,direct_information,stochastic_information,90.79333333333332,111.32666666666665,-20.53333333333333,7.0,0.00115966796875,**,15
qwen,beam_length_mean,direct_information,no_context,90.79333333333332,90.30666666666666,0.4866666666666646,54.0,0.76153564453125,ns,15
qwen,beam_length_mean,implicature_information,stochastic_information,94.57333333333332,111.32666666666665,-16.75333333333333,19.0,0.01806640625,*,15
qwen,beam_length_mean,no_context,stochastic_information,90.30666666666666,111.32666666666665,-21.019999999999996,2.0,0.00018310546875,***,15
qwen,H_fb_ratio,direct_information,stochastic_information,0.63703030131401,1.0961992970958128,-0.4591689957818028,5.0,0.0006103515625,***,15
qwen,H_fb_ratio,direct_information,no_context,0.63703030131401,0.5702607511556408,0.06676955015836916,46.0,0.45428466796875,ns,15
qwen,H_fb_ratio,implicature_information,stochastic_information,0.7497749954813184,1.0961992970958128,-0.34642430161449433,14.0,0.0067138671875,**,15
qwen,H_fb_ratio,no_context,stochastic_information,0.5702607511556408,1.0961992970958128,-0.525938545940172,5.0,0.0006103515625,***,15
qwen,EAS_fb_ratio,direct_information,stochastic_information,1.2015368647537206,1.457037640434625,-0.25550077568090446,21.0,0.02557373046875,*,15
qwen,EAS_fb_ratio,direct_information,no_context,1.2015368647537206,1.1775712419034536,0.023965622850266932,54.0,0.76153564453125,ns,15
qwen,EAS_fb_ratio,implicature_information,stochastic_information,1.2602981897000862,1.457037640434625,-0.1967394507345388,22.0,0.0301513671875,*,15
qwen,EAS_fb_ratio,no_context,stochastic_information,1.1775712419034536,1.457037640434625,-0.2794663985311714,17.0,0.012451171875,*,15
qwen,half_life_rel,direct_information,stochastic_information,0.3486538986195231,0.5054438115968318,-0.1567899129773087,3.0,0.00030517578125,***,15
qwen,half_life_rel,direct_information,no_context,0.3486538986195231,0.3024608501118568,0.04619304850766631,31.5,0.3277292332357783,ns,15
qwen,half_life_rel,implicature_information,stochastic_information,0.3908664285162372,0.5054438115968318,-0.11457738308059462,7.5,0.002859971462808187,**,15
qwen,half_life_rel,no_context,stochastic_information,0.3024608501118568,0.5054438115968318,-0.20298296148497502,5.0,0.0017815591405881393,**,15
